,,,,経常収支 (a+b+c),,,,,,,,資本移転等収支,金融収支 ,,,,,,誤差脱漏
,,,,Current account (a+b+c),,,,,,,,Capital account,Financial account ,,,,,,Net errors & omissions
,,,,,(a)貿易・サービス収支,,,,,(b)第一次所得収支,(c)第二次所得収支,,,直接投資,証券投資,金融派生商品,その他投資,外貨準備,
,,,,,(a)Goods & services,,,,,(b)Primary income,(c)Secondary income,,,Direct investment,Portfolio investment,Financial derivatives(other than reserves),Other investment,Reserve assets,
,,,,,,貿易収支,,,サービス収支,,,,,,,,,,
,2月,,Feb,"23,195","10,116","11,934","56,386","44,451","-1,818","13,815",-737,"-1,115","17,938","-2,121","16,154",142,-300,"4,064","-4,142"
,3月,,Mar,"24,159","11,250","12,351","65,507","53,155","-1,101","16,174","-3,265","-1,436","15,788","4,735","47,391",-445,"-38,150","2,256","-6,935"
,4月,,Apr,"13,796","3,003","8,957","58,846","49,889","-5,954","11,615",-822,"-1,292","4,333","19,503","-78,581",558,"60,547","2,308","-8,171"
,5月,,May,"16,895","4,133","6,055","54,774","48,719","-1,922","13,711",-949,22,"22,546","4,992","-30,738","-1,133","45,149","4,276","5,629"
,6月,,Jun,"10,809","6,581","9,820","60,054","50,234","-3,239","5,256","-1,028",-136,"5,302","7,364","-24,873","-1,504","21,349","2,966","-5,371"
,7月,,Jul,"18,327","6,515","10,592","60,294","49,702","-4,076","12,748",-936,-109,"16,198","1,825","16,992","-1,233","-4,435","3,049","-2,020"
,8月,,Aug,"15,234","1,644","4,658","58,651","53,993","-3,015","14,377",-787,-105,"9,627","3,029","12,597",251,"-10,404","4,154","-5,502"
,9月,,Sep,"21,004","9,092","12,801","65,214","52,413","-3,708","12,692",-781,-133,"17,837","4,797","91,862","1,082","-81,862","1,958","-3,034"
,10月,,Oct,"15,790","4,320","9,021","62,875","53,854","-4,701","12,341",-871,-477,"13,864","9,449","-88,475","1,024","88,628","3,239","-1,448"
,11月,,Nov,"17,935","9,532","11,723","63,150","51,427","-2,191","9,156",-753,-222,"6,887","8,606","-38,923","-1,837","34,504","4,536","-10,827"
,12月,,Dec,"18,309","10,250","13,405","66,306","52,901","-3,155","8,892",-832,-138,"13,155","5,206","-25,738",-555,"32,141","2,100","-5,017"
平成19年,1月,2007,Jan,"12,159","-1,352","2,609","56,701","54,091","-3,962","14,242",-730,-639,"20,298","7,613","-56,464",50,"65,322","3,778","8,778"
,2月,,Feb,"25,003","10,242","12,493","61,316","48,822","-2,251","15,677",-917,-413,"22,650",477,"-18,181",-406,"35,973","4,787","-1,939"
,3月,,Mar,"33,604","17,900","19,043","71,832","52,789","-1,142","19,104","-3,400","-1,445","40,473","5,833","88,634",249,"-56,542","2,300","8,315"
,4月,,Apr,"19,601","5,021","11,765","63,313","51,548","-6,743","15,618","-1,039",-209,"11,930","16,578","-78,123",-308,"70,233","3,550","-7,461"
,5月,,May,"21,242","4,195","6,763","62,752","55,990","-2,567","17,883",-836,281,"30,999",-659,"-8,092",-38,"34,882","4,906","9,476"
,6月,,Jun,"15,384","11,444","14,815","69,541","54,727","-3,370","4,789",-850,-293,"11,895",972,"53,320",567,"-45,073","2,109","-3,196"
,7月,,Jul,"18,729","4,515","9,464","67,251","57,788","-4,948","15,390","-1,176",-173,"19,074","2,213","-50,916",-585,"64,289","4,073",518
,8月,,Aug,"21,046","6,842","10,479","66,949","56,471","-3,636","15,029",-825,-421,"25,186","4,245","-37,418","1,096","52,394","4,870","4,561"
,9月,,Sep,"28,814","16,105","19,445","69,127","49,682","-3,340","13,724","-1,015",-111,"25,503","1,508","126,183","-2,907","-101,103","1,823","-3,200"
,10月,,Oct,"21,630","8,535","13,099","71,473","58,374","-4,564","14,008",-914,-104,"20,525","2,247","-63,812","2,677","75,452","3,962","-1,000"
,11月,,Nov,"16,678","7,935","10,587","69,040","58,453","-2,652","9,617",-873,-415,"21,846","6,989","-13,342","-1,913","25,718","4,393","5,583"
