experiment,variable,horizon,response
e3b_restricted,spread,1,0.0027220607598936
e3b_restricted,spread,3,0.0035962533764302
e3b_restricted,spread,6,0.0037404148579269
e3b_restricted,spread,12,0.0069402509437134
e3b_restricted,spread,24,0.0071830205504468
e3b_restricted,spread,40,0.0
e3b_restricted,log_nikkei,0,-0.0013638857778492
e3b_restricted,log_nikkei,1,-0.0031326809163309
e3b_restricted,log_nikkei,3,-0.0029360521089282
e3b_restricted,log_nikkei,6,-0.0027354006065705
e3b_restricted,log_nikkei,12,-0.0028400862821574
e3b_restricted,log_nikkei,24,-0.0030544951928157
e3b_restricted,log_nikkei,40,0.0
e3b_restricted,debtsec_pct,0,0.0039657528124446
e3b_restricted,debtsec_pct,1,-0.0044884579117734
e3b_restricted,debtsec_pct,3,-0.0289433827264941
e3b_restricted,debtsec_pct,6,-0.0263474977902982
e3b_restricted,debtsec_pct,12,-0.0219709844244294
e3b_restricted,debtsec_pct,24,-0.0026024948630199
e3b_restricted,debtsec_pct,40,0.0
e3b_restricted,equity_pct,0,0.0019036433085499
e3b_restricted,equity_pct,1,0.0004150972271753
e3b_restricted,equity_pct,3,-0.0116571894798116
e3b_restricted,equity_pct,6,-0.0135070778511471
e3b_restricted,equity_pct,12,-0.0275998817719734
e3b_restricted,equity_pct,24,-0.0096516119515305
e3b_restricted,equity_pct,40,0.0
e3b_restricted,other_pct,0,0.0026943883066959
e3b_restricted,other_pct,1,0.0184189164635587
e3b_restricted,other_pct,3,0.0764326222368527
e3b_restricted,other_pct,6,0.0963602275080918
e3b_restricted,other_pct,12,0.0703398319106807
e3b_restricted,other_pct,24,-0.0023773069203707
e3b_restricted,other_pct,40,0.0
e3b_restricted,direct_pct,0,0.0003447089389479
e3b_restricted,direct_pct,1,0.000202223742399
e3b_restricted,direct_pct,3,-0.0006336125314
e3b_restricted,direct_pct,6,0.001040864674043
e3b_restricted,direct_pct,12,0.0017061679272399
e3b_restricted,direct_pct,24,-0.0003902206324747
e3b_restricted,direct_pct,40,0.0
e4_restricted,log_rgdp,0,0.0002084223526709
e4_restricted,log_rgdp,1,-0.0026407853788472
e4_restricted,log_rgdp,3,-0.0040876696316507
e4_restricted,log_rgdp,6,-0.0039334654153081
e4_restricted,log_rgdp,12,-0.0031169287708975
e4_restricted,log_rgdp,24,-0.0018513637273465
e4_restricted,log_rgdp,40,-0.0009079649109979
e4_restricted,log_wui,0,0.0336315799404861
e4_restricted,log_wui,1,-0.0098837565762557
e4_restricted,log_wui,3,-0.0240414708696015
e4_restricted,log_wui,6,-0.0005717191117621
e4_restricted,log_wui,12,0.0114956070378105
e4_restricted,log_wui,24,0.0071425231422727
e4_restricted,log_wui,40,0.0026123129770896
e4_restricted,log_reer,0,0.0068578604648637
e4_restricted,log_reer,1,0.0123014968273392
e4_restricted,log_reer,3,0.0152461627962828
e4_restricted,log_reer,6,0.014278997078291
e4_restricted,log_reer,12,0.0111773395220913
e4_restricted,log_reer,24,0.0071322514177954
e4_restricted,log_reer,40,0.004256256219835
e4_restricted,spread,0,0.0321125351677219
e4_restricted,spread,1,0.0866141338057814
e4_restricted,spread,3,0.1048238241864283
e4_restricted,spread,6,0.0893461152779238
e4_restricted,spread,12,0.0567951271238327
e4_restricted,spread,24,0.0214569603896854
e4_restricted,spread,40,0.0031261615830978
e4_restricted,log_nikkei,0,-0.0266372854069786
e4_restricted,log_nikkei,1,-0.0272815949871649
e4_restricted,log_nikkei,3,-0.026049605434581
e4_restricted,log_nikkei,6,-0.021024759013443
e4_restricted,log_nikkei,12,-0.0127654206093721
e4_restricted,log_nikkei,24,-0.0034961727621818
e4_restricted,log_nikkei,40,0.0015623641822934
e4_restricted,debtsec_pct,0,0.0136731652851508
e4_restricted,debtsec_pct,1,-0.3347038539848548
e4_restricted,debtsec_pct,3,-0.0297235553715229
e4_restricted,debtsec_pct,6,0.0019720938759862
e4_restricted,debtsec_pct,12,-0.0019285102215348
e4_restricted,debtsec_pct,24,-0.001386505410083
e4_restricted,debtsec_pct,40,0.000529243872347
e4_restricted,equity_pct,0,-0.1887811440561827
e4_restricted,equity_pct,1,-0.1896813050151079
e4_restricted,equity_pct,3,-0.0417293490851482
e4_restricted,equity_pct,6,-0.0048597570227351
e4_restricted,equity_pct,12,-0.0009727437056237
e4_restricted,equity_pct,24,-0.001580736707435
e4_restricted,equity_pct,40,-0.0012525854226786
